,Nom,Né le,Département de naissance,Département de mort
3159,"Raymond, Gaston, Jules Zimmermann",31 mai 1912,Haut-Rhin,Haut-Rhin
3160,Pierre Vertadier,29 mai 1912,Vienne,Vienne
3161,"Napoléon, Eugène Cochart",13 mai 1912,Meuse,Inconnu
3162,Francis Sanford,11 mai 1912,Etablissements,Lieu
3163,Claude Delorme,9 mai 1912,Inconnu,Inconnu
3164,"Léon, Adrien Arnould",3 mai 1912,Moselle,Moselle
3165,Jean Delvainquière,20 avril 1912,Nord,Nord
3166,Mohamed Mokhtari,20 avril 1912,Inconnu,Inconnu
3167,Roger Roucaute,20 avril 1912,Gard,Gard
3168,"Achille, Joseph Auban",14 avril 1912,Haute-Garonne,Haute-Garonne
3169,Philippe Rivain,9 avril 1912,Seine,Paris
3170,Camille Petit,2 avril 1912,Martinique,Paris
3171,Henri Guidet,29 mars 1912,Inconnu,Inconnu
3172,Léon Damas,28 mars 1912,Guyane,Inconnu
3173,Didier Eloy,16 mars 1912,Aisne,Nord
3174,Mohamed Khider,13 mars 1912,Inconnu,Inconnu
3175,Antonin Paulin,4 mars 1912,Seine,Inconnu
3176,Georges Pianta,2 mars 1912,Haute-Savoie,Haute-Savoie
3177,Babana Horma,1er mars 1912,Lieu,Inconnu
3178,Robert Drapier,25 février 1912,Meurthe,Inconnu
3179,Hubert Martin,25 février 1912,Meurthe,Inconnu
3180,Maurice Genest,22 février 1912,Yvelines,Inconnu
3181,André Parmentier,22 février 1912,Inconnu,Inconnu
3182,André Parmentier,22 février 1912,Nord,Inconnu
3183,André Parmentier,11 mars 1896,Inconnu,Inconnu
3184,André Parmentier,11 mars 1896,Nord,Inconnu
3185,"Lucien, Jean Dutard",22 février 1912,Dordogne,Lieu
3186,Charles Malouin,15 février 1912,Calvados,Calvados
3187,Yves Le Foll,7 février 1912,Côtes,Côtes
3188,Jean Terpend-Ordassière,4 février 1912,Isère,Isère
3189,"Jacques, Emile, Yves Soustelle",3 février 1912,Hérault,Inconnu
3190,Marcel Paternot,28 janvier 1912,Inconnu,Inconnu
3191,"Edmond, Emile, Pierre Magendie",24 janvier 1912,Var,Var
3192,René Métayer,24 janvier 1912,Vienne,Vienne
3193,David Rousset,18 janvier 1912,Loire,Paris
3194,Michel Debré,15 janvier 1912,Seine,Inconnu
3195,Mohamed Cherif Benkeddache,12 janvier 1912,Inconnu,Inconnu
3196,Jacques Féron,11 janvier 1912,Paris,Inconnu
3197,Léopold Morel,9 janvier 1912,Alpes-Maritimes,Rhône
3198,"Bertrand, André Chautard",4 janvier 1912,Paris,Inconnu
3199,Henri Trémolet de Villers,4 janvier 1912,Seine,Lozère
3200,Philibert Tsiranana,1er janvier 1912,Inconnu,Inconnu
3201,Brahim Sahnouni,1er janvier 1912,Paris,Inconnu
3202,Elise Grappe,26 décembre 1911,Isère,Isère
3203,Hector Rolland,25 décembre 1911,Allier,Inconnu
3204,Louis Puy,23 décembre 1911,Vaucluse,Var
3205,Alfred Malleret-Joinville,15 décembre 1911,Seine,Inconnu
3206,Paul Mirguet,12 décembre 1911,Moselle,Moselle
3207,Victor Sablé,30 novembre 1911,Martinique,Alpes-Maritimes
3208,Georges Prisset,30 novembre 1911,Vendée,Inconnu
3209,Nestor Rombeaut,28 novembre 1911,Nord,Loire-Atlantique
3210,Alfred Peugnet,23 novembre 1911,Nord,Inconnu
3211,"Jules, Alfred Blanchet",22 novembre 1911,Ain,Ain
3212,Henri Védrines,19 novembre 1911,Allier,Inconnu
3213,Christian Fouchet,17 novembre 1911,Inconnu,Inconnu
3214,Joseph Garat,17 novembre 1911,Tarn,Pyrénées-Atlantiques
3215,Joseph Garat,17 novembre 1911,Basses-Pyrénées,Pyrénées-Atlantiques
3216,Joseph Garat,31 décembre 1872,Tarn,Pyrénées-Atlantiques
3217,Joseph Garat,31 décembre 1872,Basses-Pyrénées,Pyrénées-Atlantiques
3218,"Louis, Alexis Delmas",16 novembre 1911,Aveyron,Aveyron
3219,Jacques Chevallier,15 novembre 1911,Gironde,Inconnu
3220,"Charles, Louis, Marie, Pierre de Bancalis de Maurel d'Aragon",10 novembre 1911,Cher,Tarn
3221,Francis Ripert,6 novembre 1911,Inconnu,Inconnu
3222,"André, Louis Blondeau",25 octobre 1911,Vienne,Indre
3223,"Marcelle, Marguerite, Sylvie Hertzog-Cachin",17 octobre 1911,Côtes,Yvelines
3224,Jean-Paul de Rocca-Serra,11 octobre 1911,Paris,Inconnu
3225,Jean Laborbe,8 octobre 1911,Rhône,Inconnu
3226,Charles Ehrmann,7 octobre 1911,Seine,Alpes-Maritimes
3227,Fernand Couzinet,1er octobre 1911,Haute-Garonne,Haute-Garonne
3228,Jean-Louis Chazelle,25 septembre 1911,Loire,Loire
3229,Pierre Cornet,13 septembre 1911,Drôme,Ardèche
3230,Robert Trémollières,10 septembre 1911,Lot,Paris
3231,Pierre Weber,8 septembre 1911,Inconnu,Inconnu
3232,Auguste Lecoeur,4 septembre 1911,Nord,Inconnu
3233,André Foussat,29 août 1911,Haute-Vienne,Haute-Vienne
3234,Jean Toury,23 août 1911,Indre,Indre
3235,Edmond Borocco,3 août 1911,Haut-Rhin,Haut-Rhin
3236,Jean Binot,2 août 1911,Eure,Alpes-Maritimes
3237,Jean Peissel,28 juillet 1911,Rhône,Inconnu
3238,Pierre Pouyade,25 juillet 1911,Yonne,Var
3239,André Guerlin,19 juillet 1911,Gers,Hautes-Pyrénées
3240,"Louis, Jules Bonnet",17 juillet 1911,Vosges,Isère
3241,Gilbert Schwartz,11 juillet 1911,Meurthe,Inconnu
3242,Georges Pompidou,5 juillet 1911,Cantal,Paris
3243,Jacques Isorni,3 juillet 1911,Seine,Paris
3244,"Angèle, Marie Chevrin Née Giacomoni",1er juillet 1911,Paris,Inconnu
3245,"Jeannil, Fernand, Edouard Dumortier",28 juin 1911,Oise,Essonne
3246,"Pierre, Joseph Estradère",20 juin 1911,Yvelines,Inconnu
3247,"Auguste, Joseph Hugonnier",19 juin 1911,Ain,Lieu
3248,Edmond Thorailler,17 juin 1911,Vendée,Inconnu
3249,Achille Peretti,13 juin 1911,Inconnu,Inconnu
3250,"Roger, Maurice Gillot",12 juin 1911,Seine,Nièvre
3251,"Emilienne, Berthe Galicier",11 juin 1911,Yonne,Lieu
3252,André Savard,27 mai 1911,Meuse,Hérault
3253,"René, Alfred Pagès",18 mai 1911,Hérault,Hérault
3254,André Sanglier,10 mai 1911,La,Inconnu
3255,Laurent Bilbeau,3 mai 1911,Cher,Inconnu
3256,Raymond Grandsart,29 avril 1911,Charente-Maritime,Inconnu
3257,"Marcel, Louis, Julien Anthonioz",26 avril 1911,Ain,Ain
3258,Adeham Saïd-Ibrahim,17 avril 1911,Arabie,Inconnu
3259,Kaddour Sator,14 avril 1911,Paris,Inconnu
3260,Maurice Schumann,10 avril 1911,Seine,Paris
3261,Alfred Coste-Floret,9 avril 1911,Hérault,Hérault
3262,Paul Coste-Floret,9 avril 1911,Hérault,Hérault
3263,Jean Baridon,7 avril 1911,Hautes-Alpes,Rhône
3264,Lionel de Tinguy du Pouët,6 avril 1911,Seine,Inconnu
3265,Ambroise Brugière,4 avril 1911,Inconnu,Inconnu
3266,"Roger, Maurice, Gaston Kaouza",2 avril 1911,Marne,Paris
3267,Toussaint Merle,31 mars 1911,Var,Var
3268,Emile Dubuis,20 mars 1911,Loire,Ain
3269,"Paul, Jean, Gaston Coirre",19 mars 1911,Seine,Paris
3270,Paul Thillard,19 mars 1911,Pyrénées-Atlantiques,Inconnu
3271,Charles Viatte,18 mars 1911,Doubs,Alpes-Maritimes
3272,"Roger, André Bouret",13 mars 1911,Seine,Loire-Atlantique
3273,Guy Jarrosson,9 mars 1911,Rhône,Inconnu
3274,"Jean, Emile Courtecuisse",7 mars 1911,Nord,Nord
3275,Robert Wagner,6 mars 1911,Haut-Rhin,Yvelines
3276,André Gaubert,5 mars 1911,Sarthe,Inconnu
3277,Eugène Doyen,28 février 1911,Nord,Nord
3278,"Rémy, François Boutavant",26 février 1911,Inconnu,Inconnu
3279,André Gauthier,20 février 1911,Isère,Isère
3280,"André, Didier, François Albert",19 février 1911,Seine,Paris
3281,Gilberte Roca Née Cau,18 février 1911,Aude,Gard
3282,René Mariat,12 février 1911,Cher,Cher
3283,Raymond Hanin,8 février 1911,Haute-Marne,Haute-Marne
3284,Paul Greffier,5 février 1911,Loire-Inférieure,Eure
3285,Abderrahman Farès,30 janvier 1911,Inconnu,Inconnu
3286,"Joseph, François, Adrien, Théophile Aussel",29 janvier 1911,Hérault,Hérault
3287,Jean Garnier,26 janvier 1911,Inconnu,Inconnu
3288,Jean Garnier,26 janvier 1911,Paris,Inconnu
3289,Jean Garnier,27 octobre 1748,Inconnu,Inconnu
3290,Jean Garnier,27 octobre 1748,Paris,Inconnu
3291,"Abel, Gaston Bessac",26 janvier 1911,Lot,Tarn
3292,Georges Peizerat,21 janvier 1911,Savoie,Savoie
3293,Jean-Pierre Parrot,19 janvier 1911,Allier,Allier
3294,Ali Ben Lakhdar Brahimi,10 janvier 1911,Inconnu,Inconnu
3295,Victor Rault,6 janvier 1911,Côtes,Côtes
3296,Paul Robert,3 janvier 1911,Vosges,Inconnu
3297,"Jean, Clément Masse",3 janvier 1911,Inconnu,Inconnu
3298,Khelil Benhalla,1er janvier 1911,Paris,Inconnu
3299,Cheikh Benssedick,1er janvier 1911,Inconnu,Inconnu
3300,"Joseph, Marie, Gabriel Perrin",30 décembre 1910,Vosges,Haut-Rhin
3301,Yves du Halgouët,27 décembre 1910,Seine,Morbihan
3302,Paul Balmigère,25 décembre 1910,Aude,Hérault
3303,Pierre Herman,20 décembre 1910,Nord,Inconnu
3304,Slimane Belabed,12 décembre 1910,Allier,Inconnu
