,Nom,Né le,Département de naissance,Département de mort
59,Jean-Jacques Gaultier,13 juillet 1963,Vosges,Inconnu
60,Gilles Lurton,6 juillet 1963,Inconnu,Inconnu
61,Alain Belviso,4 juillet 1963,Inconnu,Inconnu
62,Nicole Trisse,29 juin 1963,Moselle,Inconnu
63,Stéphane Demilly,26 juin 1963,Somme,Inconnu
64,Corinne Vignon,10 juin 1963,Inconnu,Inconnu
65,Bernard Cazeneuve,2 juin 1963,Oise,Inconnu
66,Frédérique Dumas,18 mai 1963,Seine,Inconnu
67,Anne Genetet,20 avril 1963,Seine,Inconnu
68,"Guy, Georges, Camille Lefrand",11 mars 1963,Calvados,Inconnu
69,Valérie Beauvais,8 mars 1963,Nièvre,Inconnu
70,Yves Nicolin,5 mars 1963,Loire,Inconnu
71,Dominique David,27 février 1963,Hérault,Inconnu
72,Véronique Carrion-Bastok,19 février 1963,Seine,Inconnu
73,Antoine Herth,14 février 1963,Bas-Rhin,Inconnu
74,Edouard Jacque,10 février 1963,Meurthe,Inconnu
75,Jean-Frédéric Poisson,22 janvier 1963,Inconnu,Inconnu
76,Daniel Fasquelle,16 janvier 1963,Inconnu,Inconnu
77,Corinne Marchal-Tarnus,28 décembre 1962,Meurthe,Inconnu
78,Philippe Rouault,17 décembre 1962,Inconnu,Inconnu
79,Vincent Descoeur,13 décembre 1962,Cantal,Inconnu
80,Xavier Breton,25 novembre 1962,Vosges,Inconnu
81,Arnaud Montebourg,30 octobre 1962,Nièvre,Inconnu
82,François Vannson,20 octobre 1962,Vosges,Inconnu
83,Michèle Tabarot,13 octobre 1962,Inconnu,Inconnu
84,Jean-Marie Beffara,13 octobre 1962,Indre,Inconnu
85,Patrick Malavieille,10 octobre 1962,Gard,Inconnu
86,Sylvie Tolmont,9 octobre 1962,Sarthe,Inconnu
87,Alain Fauré,1er octobre 1962,Ariège,Ariège
88,Marie Tamarelle-Verhaeghe,27 septembre 1962,Seine-Inférieure,Inconnu
89,Jean-Christophe Fromantin,30 août 1962,Loire-Inférieure,Inconnu
90,Sophie Rohfritsch,27 août 1962,Isère,Inconnu
91,Claude Sturni,25 août 1962,Bas-Rhin,Inconnu
92,Manuel Valls,13 août 1962,Inconnu,Inconnu
93,Françoise Guégot,11 août 1962,Inconnu,Inconnu
94,Rodolphe Thomas,8 août 1962,Calvados,Inconnu
95,Aude Bono-Vandorme,3 août 1962,Aisne,Inconnu
96,François Pupponi,31 juillet 1962,Ain,Inconnu
97,Stéphane Peu,24 juillet 1962,Basses-Pyrénées,Inconnu
98,Linda Gourjade,13 juillet 1962,Inconnu,Inconnu
99,Yannick Trigance,13 juillet 1962,Inconnu,Inconnu
100,Michel Pouzol,5 juillet 1962,Inconnu,Inconnu
101,Richard Ferrand,1er juillet 1962,Aveyron,Inconnu
102,Clotilde Valter,24 juin 1962,Inconnu,Inconnu
103,Franck Dhersin,18 juin 1962,Inconnu,Inconnu
104,Anne-France Brunet,12 juin 1962,Inconnu,Inconnu
105,Valérie Boyer,11 juin 1962,Cher,Inconnu
106,Sophie Primas,7 juin 1962,Inconnu,Inconnu
107,Jean-Louis Roumégas,6 juin 1962,Inconnu,Inconnu
108,Denis Baupin,2 juin 1962,Manche,Inconnu
109,Pascale Fontenel-Personne,26 mai 1962,Sarthe,Inconnu
110,Paul Molac,21 mai 1962,Morbihan,Inconnu
111,Florence Granjus,17 mai 1962,Inconnu,Inconnu
112,Jimmy Pahun,15 mai 1962,Seine,Inconnu
113,Nathalie Sarles,17 avril 1962,Drôme,Inconnu
114,Jacques Maire,4 avril 1962,Inconnu,Inconnu
115,Marie-Anne Chapdelaine,20 mars 1962,Ardennes,Inconnu
116,Mireille Robert,1er mars 1962,Basses-Pyrénées,Inconnu
117,Fadila Khattabi,23 février 1962,Doubs,Inconnu
118,Éric Girardin,12 février 1962,Marne,Inconnu
119,Bertrand Kern,4 février 1962,Inconnu,Inconnu
120,Jean-Patrick Gille,28 janvier 1962,Sarthe,Inconnu
121,Isabelle Valentin,20 janvier 1962,Haute-Loire,Inconnu
122,Patricia Lemoine,30 décembre 1961,Inconnu,Inconnu
123,Sylvie Andrieux,15 décembre 1961,Inconnu,Inconnu
124,Ary Chalus,6 décembre 1961,Guadeloupe,Inconnu
125,Philippe Baumel,14 novembre 1961,Gers,Inconnu
126,Sandrine Mörch,13 novembre 1961,Inconnu,Inconnu
127,Louis Mussington,9 novembre 1961,Inconnu,Inconnu
128,Éric Jalton,16 septembre 1961,Guadeloupe,Inconnu
129,Franck Montaugé,14 septembre 1961,Gers,Inconnu
130,Michel Grall,11 septembre 1961,Morbihan,Inconnu
131,"Didier, Georges Arnal",8 septembre 1961,Cantal,Inconnu
132,Hervé Morin,17 août 1961,Eure,Inconnu
133,Anne-Christine Lang,10 août 1961,Landes,Inconnu
134,Bruno Sandras,4 août 1961,Etablissements,Inconnu
135,Michèle Peyron,22 juillet 1961,Gard,Inconnu
136,Bruno Nestor Azerot,22 juillet 1961,Martinique,Inconnu
137,Emmanuelle Bouquillon,2 juillet 1961,Nord,Inconnu
138,Gaël Yanno,2 juillet 1961,Nouvelle-Calédonie,Inconnu
139,Catherine Lemorton,20 juin 1961,Aube,Inconnu
140,Joëlle Borowski,3 juin 1961,Inconnu,Inconnu
141,Ramlati Ali,28 mai 1961,Mayotte,Inconnu
142,Marc Delatte,24 mai 1961,Aisne,Inconnu
143,Philippe Cochet,23 mai 1961,Inconnu,Inconnu
144,Michel Ménard,20 mai 1961,Mayenne,Inconnu
145,Nadia Ramassamy,17 mai 1961,La,Inconnu
146,Philippe Doucet,16 mai 1961,Seine-Inférieure,Inconnu
147,Sylvie Charrière,15 mai 1961,Inconnu,Inconnu
148,Meyer Habib,28 avril 1961,Seine,Inconnu
149,Béatrice Descamps,24 avril 1961,Nord,Inconnu
150,Yves Jégo,17 avril 1961,Doubs,Inconnu
151,Pascale Got,1er avril 1961,Charente-Inférieure,Inconnu
152,Véronique Louwagie,20 mars 1961,Eure,Inconnu
153,Olivier Carré,16 mars 1961,Loiret,Inconnu
154,David Habib,16 mars 1961,Seine,Inconnu
155,Olivier de Chazeaux,13 mars 1961,Var,Inconnu
156,Nicolas Dupont-Aignan,7 mars 1961,Seine,Inconnu
157,Jean-Marie Sermier,5 mars 1961,Jura,Inconnu
158,François Grosdidier,25 février 1961,Moselle,Inconnu
159,Natalia Pouzyreff,18 février 1961,Haute-Vienne,Inconnu
160,Nicolas Forissier,17 février 1961,Seine,Inconnu
161,Henri Plagnol,11 février 1961,Seine,Inconnu
162,Frédéric Petit,10 février 1961,Inconnu,Inconnu
163,Olivier Dosne,20 janvier 1961,Loiret,Inconnu
164,Christian Hutin,18 janvier 1961,Nord,Inconnu
165,Fabienne Labrette-Ménager,8 janvier 1961,Seine,Inconnu
166,Bruno Gilles,26 décembre 1960,Inconnu,Inconnu
167,Frédérique Meunier,8 décembre 1960,Seine,Inconnu
168,Nicolas Dhuicq,29 novembre 1960,Seine,Inconnu
169,Bruno Retailleau,20 novembre 1960,Inconnu,Inconnu
170,Constance Le Grip,14 novembre 1960,Inconnu,Inconnu
171,Jean-Pierre Barbier,11 novembre 1960,Inconnu,Inconnu
172,Eric Duboc,30 octobre 1960,Inconnu,Inconnu
173,Philippe Briand,26 octobre 1960,Inconnu,Inconnu
174,Thierry Lazaro,27 septembre 1960,Nord,Inconnu
175,Boinali Said,25 septembre 1960,Mayotte,Inconnu
176,Didier Gonzales,14 septembre 1960,Inconnu,Inconnu
177,Christophe Caresche,2 septembre 1960,Gironde,Inconnu
178,Frédéric Barbier,30 août 1960,Doubs,Inconnu
179,Thierry Michels,27 août 1960,Bas-Rhin,Inconnu
180,Olivier Audibert Troin,16 août 1960,Var,Inconnu
181,Philippe Naillet,14 août 1960,La,Inconnu
182,Sabine Rubin,13 août 1960,Seine,Inconnu
183,Laurent Dominati,5 août 1960,Seine,Inconnu
184,Catherine Vautrin,26 juillet 1960,Marne,Inconnu
185,Denys Robiliard,22 juillet 1960,Seine-Inférieure,Inconnu
186,Jean-Luc Moudenc,19 juillet 1960,Haute-Garonne,Inconnu
187,Vincent Peillon,7 juillet 1960,Inconnu,Inconnu
188,Jean-Philippe Maurer,7 juillet 1960,Bas-Rhin,Inconnu
189,Laurence Abeille,17 juin 1960,Inconnu,Inconnu
190,Renaud Dutreil,12 juin 1960,Savoie,Inconnu
191,Hervé Gaymard,31 mai 1960,Savoie,Inconnu
192,François De Mazières,22 mai 1960,Hautes-Pyrénées,Inconnu
193,Pascal Ménage,21 mai 1960,Seine,Inconnu
194,Didier Marie,19 mai 1960,Seine-Inférieure,Inconnu
195,Patrick Loiseau,8 mai 1960,Vendée,Inconnu
196,Gilles Bourdouleix,15 avril 1960,Inconnu,Inconnu
197,Abdoulatifou Aly,12 avril 1960,Mayotte,Inconnu
198,Françoise Dumas,12 avril 1960,Gard,Inconnu
199,Philippe Berta,11 avril 1960,Doubs,Inconnu
200,Graziella Melchior,6 avril 1960,Finistère,Inconnu
201,Annie Le Houerou,31 mars 1960,Côtes,Inconnu
202,Christian Paul,23 mars 1960,Inconnu,Inconnu
203,Marie-Hélène Amiable,14 mars 1960,Seine,Inconnu
204,Guy Hascoet,29 février 1960,Sarthe,Inconnu
205,Pascale Gruny,18 février 1960,Nord,Inconnu
206,Michel Hunault,14 février 1960,Loire-Inférieure,Inconnu
207,Patrice Calméjane,6 février 1960,Inconnu,Inconnu
208,Stéphane Le Foll,3 février 1960,Sarthe,Inconnu
209,Pascal Demarthe,29 janvier 1960,Somme,Inconnu
210,Jean-François Parigi,25 janvier 1960,Inconnu,Inconnu
211,Michel Vialay,6 janvier 1960,Seine,Inconnu
212,Dominique Tian,14 décembre 1959,Inconnu,Inconnu
213,Christian Jacob,4 décembre 1959,Inconnu,Inconnu
214,Pascal Bois,3 décembre 1959,Seine,Inconnu
215,Bruno Millienne,28 novembre 1959,Inconnu,Inconnu
216,François Lamy,31 octobre 1959,Essonne,Inconnu
217,Dominique Baert,24 octobre 1959,Nord,Inconnu
218,Joël Giraud,14 octobre 1959,Hautes-Alpes,Inconnu
219,Bérengère Poletti,14 octobre 1959,Meuse,Inconnu
220,Élie Aboud,12 octobre 1959,Inconnu,Inconnu
221,Valérie Fourneyron,4 octobre 1959,Seine-Inférieure,Inconnu
222,Josiane Corneloup,30 septembre 1959,Inconnu,Inconnu
223,Nicole Le Peih,28 septembre 1959,Morbihan,Inconnu
224,Gabriel Serville,27 septembre 1959,Guyane,Inconnu
225,Jean-Jacques Urvoas,19 septembre 1959,Finistère,Inconnu
226,Sophie Mette,13 septembre 1959,Inconnu,Inconnu
227,Sandrine Doucet,10 septembre 1959,Gironde,Inconnu
228,Dominique Dord,1er septembre 1959,Savoie,Inconnu
229,Yves Goasdoué,22 août 1959,Manche,Inconnu
230,Mohamed Laqhila,3 août 1959,Inconnu,Inconnu
231,Brigitte Liso,29 juillet 1959,Nord,Inconnu
232,Véronique Massonneau,17 juillet 1959,Inconnu,Inconnu
233,Kader Arif,3 juillet 1959,Inconnu,Inconnu
234,Françoise Olivier-Coupeau,3 juillet 1959,Mayenne,Inconnu
235,Sabine Thillaye,18 mai 1959,Inconnu,Inconnu
236,Renaud Muselier,6 mai 1959,Inconnu,Inconnu
237,Brigitte Kuster,12 avril 1959,Inconnu,Inconnu
238,Bruno Fuchs,7 avril 1959,Haut-Rhin,Inconnu
239,Isabelle Vasseur,2 avril 1959,Meurthe,Inconnu
240,Mansour Kamardine,23 mars 1959,Mayotte,Inconnu
241,Viviane Le Dissez,22 mars 1959,Côtes,Inconnu
242,Brigitte Bourguignon,21 mars 1959,Inconnu,Inconnu
243,Serge Grouard,19 mars 1959,Seine,Inconnu
244,Marisol Touraine,7 mars 1959,Seine,Inconnu
245,Maryvonne Briot,4 février 1959,Vosges,Inconnu
246,Maurice Leroy,2 février 1959,Seine,Inconnu
247,Juliana Rimane,22 janvier 1959,Guyane,Inconnu
248,Claudine Ledoux,10 janvier 1959,Ardennes,Inconnu
249,Éric Coquerel,30 décembre 1958,Inconnu,Inconnu
250,Pierre Morel-A-l'Huissier,21 décembre 1958,Bas-Rhin,Inconnu
251,Jean-Luc Bleunven,20 décembre 1958,Finistère,Inconnu
252,Jean-Marc Fournel,9 décembre 1958,Meurthe,Inconnu
253,Gaetan Gorce,2 décembre 1958,Nièvre,Inconnu
254,Dominique Le Mèner,12 novembre 1958,Sarthe,Inconnu
255,Hervé Mariton,5 novembre 1958,Inconnu,Inconnu
256,Dominique Voynet,4 novembre 1958,Doubs,Inconnu
257,Michèle Victory,28 octobre 1958,Inconnu,Inconnu
258,Philippe Gomès,27 octobre 1958,Inconnu,Inconnu
259,Martine Pinville,23 octobre 1958,Charente,Inconnu
260,Louis Giscard d'Estaing,20 octobre 1958,Seine,Inconnu
261,Colette Capdevielle,14 octobre 1958,Basses-Pyrénées,Inconnu
262,Béatrice Pavy,14 octobre 1958,Inconnu,Inconnu
263,Jean-Paul Lecoq,13 octobre 1958,Seine-Inférieure,Inconnu
264,Yves Foulon,10 octobre 1958,Gironde,Inconnu
265,Bruno Bonnell,6 octobre 1958,Inconnu,Inconnu
266,Chantal Berthelot,12 septembre 1958,Guyane,Inconnu
267,Jean-Luc Lagleize,9 septembre 1958,Hautes-Pyrénées,Inconnu
268,Yannick Favennec,12 août 1958,Inconnu,Inconnu
269,Thierry Mariani,8 août 1958,Vaucluse,Inconnu
270,Georges Siffredi,28 juillet 1958,Inconnu,Inconnu
271,Jacques Marilossian,26 juillet 1958,Haute-Loire,Inconnu
272,Alain Ramadier,8 juillet 1958,Seine,Inconnu
273,Christophe Guilloteau,18 juin 1958,Inconnu,Inconnu
274,Jean-René Cazeneuve,9 juin 1958,Seine,Inconnu
275,Éric Alauzet,7 juin 1958,Meurthe,Inconnu
276,Bertrand Pancher,5 juin 1958,Meuse,Inconnu
277,Jacques Cattin,4 juin 1958,Haut-Rhin,Inconnu
278,Laurence Dumont,2 juin 1958,Inconnu,Inconnu
279,François Cornut-Gentille,22 mai 1958,Inconnu,Inconnu
280,Gilles Le Gendre,13 mai 1958,Inconnu,Inconnu
281,Francis Vercamer,10 mai 1958,Nord,Inconnu
282,Christophe Priou,2 mai 1958,Loire-Inférieure,Inconnu
283,Cyrille Isaac-Sibille,30 avril 1958,Inconnu,Inconnu
284,Jean-Louis Rousselin,19 avril 1958,Inconnu,Inconnu
285,Catherine Kamowski,8 avril 1958,Nord,Inconnu
286,Eric Besson,2 avril 1958,Inconnu,Inconnu
287,Annick Lepetit,31 mars 1958,Inconnu,Inconnu
288,Jean-Paul Dufrègne,28 mars 1958,Allier,Inconnu
289,Jacques Le Guen,8 mars 1958,Finistère,Inconnu
290,Michel Liebgott,15 février 1958,Moselle,Inconnu
291,Dominique Chauvel,15 février 1958,Inconnu,Inconnu
292,Frédéric Saint-Sernin,4 février 1958,Marne,Inconnu
293,Philippe Vigier,3 février 1958,Drôme,Inconnu
294,Patrick Vignal,22 janvier 1958,Hérault,Inconnu
295,Marie-Christine Dalloz,10 janvier 1958,Jura,Inconnu
296,Jeanine Dubié,3 janvier 1958,Hautes-Pyrénées,Inconnu
297,Thierry Mandon,30 décembre 1957,Inconnu,Inconnu
298,Emmanuel Hamelin,28 décembre 1957,Inconnu,Inconnu
299,Jean-Louis Bricout,27 décembre 1957,Nord,Inconnu
300,Marianne Dubois,17 décembre 1957,Essonne,Inconnu
301,Pierre Cabaré,12 décembre 1957,Haute-Garonne,Inconnu
302,Alain Calmette,30 novembre 1957,Cantal,Inconnu
303,Marie-Anne Montchamp,1er novembre 1957,Corrèze,Inconnu
304,Paul Jeanneteau,14 octobre 1957,Inconnu,Inconnu
305,Gautier Audinot,6 octobre 1957,Eure,Inconnu
306,Bernard Carayon,1er octobre 1957,Seine,Inconnu
307,Pierre Bédier,30 septembre 1957,Landes,Inconnu
308,Denis Sommer,23 septembre 1957,Haute-Saône,Inconnu
309,Richard Lioger,18 septembre 1957,Seine,Inconnu
310,Pierre Moscovici,16 septembre 1957,Seine,Inconnu
311,Jean-Paul Calloud,14 septembre 1957,Savoie,Inconnu
312,Martine Leguille-Balloy,6 septembre 1957,Cher,Inconnu
313,Claire Guion-Firmin,6 septembre 1957,Saint-Barthélemy,Inconnu
314,Patrick Roy,30 août 1957,Nord,Lieu
315,Régine Povéda,24 août 1957,Inconnu,Inconnu
316,Georges Tron,1er août 1957,Inconnu,Inconnu
317,Sophie Delong,17 juillet 1957,Haute-Marne,Inconnu
318,Philippe Nauche,15 juillet 1957,Corrèze,Inconnu
319,Jean-Luc Gouyon,7 juillet 1957,Orne,Inconnu
320,Alain Fabre-Pujol,27 juin 1957,Gard,Inconnu
321,Jean-Luc Laurent,23 juin 1957,Seine,Inconnu
322,Jérôme Lambert,7 juin 1957,Inconnu,Inconnu
323,Nadia Essayan,6 juin 1957,Inconnu,Inconnu
324,Paul Giacobbi,4 juin 1957,Inconnu,Inconnu
325,Paul Giacobbi,4 juin 1957,Haute-Corse,Paris
326,Paul Giacobbi,18 mars 1896,Inconnu,Inconnu
327,Paul Giacobbi,18 mars 1896,Haute-Corse,Paris
328,Jacqueline Dubois,28 mai 1957,Var,Inconnu
329,Jacqueline Irles,24 mai 1957,Pyrénées-Orientales,Inconnu
330,Jean-François Jalkh,23 mai 1957,Inconnu,Inconnu
331,Jean-Claude Bouchet,2 mai 1957,Vaucluse,Inconnu
332,Bruno Duvergé,3 avril 1957,Nord,Inconnu
333,Jean-Pierre Thomas,27 mars 1957,Vosges,Inconnu
334,Michel Lauzzana,20 mars 1957,Inconnu,Inconnu
335,Henri Guaino,11 mars 1957,Inconnu,Inconnu
336,Francis Saint-Léger,22 février 1957,Lozère,Inconnu
337,Daniel Picotin,16 février 1957,Gironde,Inconnu
338,Jean-Yves Caullet,8 février 1957,Nord,Inconnu
339,Jean-Michel Fauvergue,31 janvier 1957,Pyrénées-Orientales,Inconnu
340,Alain Marc,29 janvier 1957,Inconnu,Inconnu
341,Bernard Perrut,24 janvier 1957,Inconnu,Inconnu
342,Fanny Dombre Coste,26 décembre 1956,Seine-Inférieure,Inconnu
343,Hubert Wulfranc,17 décembre 1956,Seine-Inférieure,Inconnu
344,Marc Le Fur,28 novembre 1956,Inconnu,Inconnu
345,François Deluga,18 novembre 1956,Gironde,Inconnu
346,Frédérique Bredin,2 novembre 1956,Seine,Inconnu
347,Michel Grégoire,27 octobre 1956,Inconnu,Inconnu
348,Jean Dionis du Séjour,21 septembre 1956,Inconnu,Inconnu
349,Annie Vidal,17 septembre 1956,Inconnu,Inconnu
350,Pierre Morange,8 septembre 1956,Inconnu,Inconnu
351,Annie Genevard,7 septembre 1956,Doubs,Inconnu
352,Didier Martin,20 août 1956,Inconnu,Inconnu
353,Marie-Noëlle Battistel,20 août 1956,Isère,Inconnu
354,Jean-François Eliaou,13 août 1956,Alpes-Maritimes,Inconnu
355,Hervé Féron,3 août 1956,Haute-Saône,Inconnu
356,Guénhaël Huet,30 juillet 1956,Morbihan,Inconnu
357,André Vallini,15 juillet 1956,Isère,Inconnu
358,Gilbert Sauvan,15 juillet 1956,Basses-Alpes,Inconnu
359,Patrick Bloche,4 juillet 1956,Inconnu,Inconnu
360,Frédérique Tuffnell,29 juin 1956,Vienne,Inconnu
361,Colette Langlade,20 juin 1956,Dordogne,Inconnu
362,Joël Aviragnet,16 juin 1956,Haute-Garonne,Inconnu
363,Florence Delaunay,12 juin 1956,Inconnu,Inconnu
364,Marguerite Lamour,12 juin 1956,Finistère,Inconnu
365,Rémi Delatte,9 juin 1956,Inconnu,Inconnu
366,Dominique Paillé,28 mai 1956,Deux-Sèvres,Inconnu
367,Elisabeth Hubert,26 mai 1956,Sarthe,Inconnu
368,Frédéric Dutoit,26 mai 1956,Inconnu,Inconnu
369,Charles-Ange Ginesy,14 mai 1956,Alpes-Maritimes,Inconnu
370,Dominique Lefebvre,7 mai 1956,Nord,Inconnu
371,Hélène Vainqueur-Christophe,6 mai 1956,Guadeloupe,Inconnu
372,Jean-Louis Gagnaire,29 avril 1956,Loire,Inconnu
373,Brigitte Allain,23 avril 1956,Dordogne,Inconnu
374,André Wojciechowski,17 avril 1956,Moselle,Inconnu
375,François Brottes,31 mars 1956,Drôme,Inconnu
376,Sophie Dion,25 mars 1956,Inconnu,Inconnu
377,Geneviève Darrieussecq,4 mars 1956,Landes,Inconnu
378,Jean Garraud,27 février 1956,Haute-Garonne,Inconnu
379,Max Mathiasin,24 février 1956,Guadeloupe,Inconnu
380,Pascal Deguilhem,9 février 1956,Dordogne,Inconnu
381,Christian Eckert,8 février 1956,Moselle,Inconnu
382,Jean-François Lamour,2 février 1956,Seine,Inconnu
383,Éric Woerth,29 janvier 1956,Oise,Inconnu
384,Philippe Vuilque,29 janvier 1956,Ardennes,Inconnu
385,Daniel Pennec,17 janvier 1956,Côtes,Inconnu
386,Daniel Mach,4 décembre 1955,Pyrénées-Orientales,Inconnu
387,"Robert, Jean-Pierre, Marie Diat",20 novembre 1955,Loire-Inférieure,Inconnu
388,Marie-Hélène Aubert,16 novembre 1955,Loire-Inférieure,Inconnu
389,Jacques Grosperrin,17 octobre 1955,Inconnu,Inconnu
390,"Philippe, Calixte, Gérard Edmond-Mariette",15 octobre 1955,Martinique,Inconnu
391,Françoise Descamps-Crosnier,13 octobre 1955,Inconnu,Inconnu
392,Luce Pane,28 septembre 1955,Seine-Inférieure,Inconnu
393,Philippe Pemezec,25 septembre 1955,Manche,Inconnu
394,Sophie Dessus,24 septembre 1955,Haute-Vienne,Inconnu
395,Claudine Schmid,13 septembre 1955,Haute-Savoie,Inconnu
396,Anne-Yvonne Le Dain,1er septembre 1955,Inconnu,Inconnu
397,Christine Hennion,23 août 1955,Nord,Inconnu
398,Daniel Labaronne,16 juillet 1955,Seine,Inconnu
399,Antoine Joly,16 juillet 1955,Sarthe,Inconnu
400,Philippe Bonnecarrère,12 juillet 1955,Haute-Garonne,Inconnu
401,Dino Cinieri,9 juillet 1955,Loire,Inconnu
402,Christian Estrosi,1er juillet 1955,Alpes-Maritimes,Inconnu
403,Laurent Kalinowski,28 juin 1955,Moselle,Inconnu
404,Eric Raoult,19 juin 1955,Seine,Inconnu
405,Pierre Ribeaud,13 juin 1955,Isère,Inconnu
406,Sylvie Pichot,1er juin 1955,Inconnu,Inconnu
407,Philippe Langenieux-Villard,20 mai 1955,Seine,Inconnu
408,Pierre-Christophe Baguet,11 mai 1955,Seine,Inconnu
409,Philippe Noguès,7 mai 1955,Morbihan,Inconnu
410,Jean Lassalle,3 mai 1955,Basses-Pyrénées,Inconnu
411,Vincent Bru,29 avril 1955,Basses-Pyrénées,Inconnu
412,Laurent Vergès,23 avril 1955,La,La
413,Elisabeth Pochon,19 avril 1955,Inconnu,Inconnu
414,Monica Michel,16 avril 1955,Inconnu,Inconnu
415,Patrick Mennucci,8 avril 1955,Inconnu,Inconnu
416,Michel Bouvard,17 mars 1955,Inconnu,Inconnu
417,Chantal Guittet,12 mars 1955,Inconnu,Inconnu
418,Jean-Yves Bony,11 mars 1955,Cantal,Inconnu
419,Julien Dray,5 mars 1955,Inconnu,Inconnu
420,Philippe Vitel,22 février 1955,Var,Inconnu
421,Jacques Cresta,16 février 1955,Inconnu,Inconnu
422,François Cuillandre,5 février 1955,Finistère,Inconnu
423,Laurence Vichnievsky,5 février 1955,Inconnu,Inconnu
424,Francis Falala,2 février 1955,Marne,Inconnu
425,Nicolas Sarkozy,28 janvier 1955,Seine,Inconnu
426,Evelyne Guilhem,21 janvier 1955,Seine,Inconnu
427,Jean-Yves Haby,5 janvier 1955,Meurthe,Inconnu
428,Lionnel Luca,19 décembre 1954,Inconnu,Inconnu
429,Élisabeth Toutut-Picard,17 décembre 1954,Inconnu,Inconnu
430,André Villiers,13 décembre 1954,Yonne,Inconnu
431,Gérard Welzer,13 décembre 1954,Vosges,Inconnu
432,Gilles Savary,6 décembre 1954,Haute-Vienne,Inconnu
433,Jean-Claude Leclabart,4 décembre 1954,Somme,Inconnu
434,Dominique Richard,29 novembre 1954,Inconnu,Inconnu
435,Pierre Sirgue,18 novembre 1954,Gironde,Inconnu
436,Renaud Gauquelin,7 novembre 1954,Seine,Inconnu
437,Annick Le Loch,4 novembre 1954,Finistère,Inconnu
438,Jean-Michel Clément,31 octobre 1954,Vienne,Inconnu
439,Georges Fenech,26 octobre 1954,Inconnu,Inconnu
440,Yves Blein,12 octobre 1954,Inconnu,Inconnu
441,Geneviève Fioraso,10 octobre 1954,Somme,Inconnu
442,Christian Bourquin,7 octobre 1954,Pyrénées-Orientales,Inconnu
443,Patricia Gallerneau,9 septembre 1954,Seine,Vendée
444,Bernard Birsinger,1er septembre 1954,Seine,Pyrénées-Atlantiques
445,Étienne Blanc,29 août 1954,Inconnu,Inconnu
446,René-Paul Victoria,27 août 1954,La,Inconnu
447,Pierre Victoria,22 août 1954,Finistère,Inconnu
448,François Hollande,12 août 1954,Seine-Inférieure,Inconnu
449,Yves Daniel,31 juillet 1954,Loire-Inférieure,Inconnu
450,Rudy Salles,30 juillet 1954,Alpes-Maritimes,Inconnu
451,Marie-Claude Marchand,22 juillet 1954,Inconnu,Inconnu
452,Marie-Line Reynaud,17 juillet 1954,Charente,Inconnu
453,Yolaine De Courson,14 juillet 1954,Inconnu,Inconnu
454,Olivier Darrason,12 juillet 1954,Inconnu,Inconnu
455,Monique Rabin,2 juillet 1954,Mayenne,Inconnu
456,Patrick Weiten,1er juillet 1954,Moselle,Inconnu
457,Alain Merly,15 juin 1954,Inconnu,Inconnu
458,Yannick Haury,12 juin 1954,Loire-Inférieure,Inconnu
459,Claude Greff,2 juin 1954,Meurthe,Inconnu
460,Charles De la Verpillière,31 mai 1954,Ain,Inconnu
461,Camille De Rocca Serra,21 mai 1954,Inconnu,Inconnu
462,Patrick Trémège,14 mai 1954,Inconnu,Inconnu
463,Dominique Juillot,9 mai 1954,Inconnu,Inconnu
464,Catherine Pen,9 mai 1954,Inconnu,Inconnu
465,Yvon Briant,5 mai 1954,Finistère,Haute-Corse
466,Philippe Goujon,30 avril 1954,Seine,Inconnu
467,Jean-René Marsac,21 avril 1954,Morbihan,Inconnu
468,Jean-Paul Mattei,21 mars 1954,Inconnu,Inconnu
469,Xavier Pintat,15 mars 1954,Gironde,Inconnu
470,Renaud Donnedieu de Vabres,13 mars 1954,Inconnu,Inconnu
471,Joël Goyheneix,10 mars 1954,Basses-Pyrénées,Inconnu
472,François Fillon,4 mars 1954,Sarthe,Inconnu
473,Yvan Lachaud,4 mars 1954,Gard,Inconnu
474,Jacques Rebillard,24 février 1954,Bas-Rhin,Inconnu
475,Geneviève Gosselin-Fleury,22 février 1954,Manche,Inconnu
476,Alain Ballay,19 février 1954,Doubs,Inconnu
477,Didier Paris,14 février 1954,Seine,Inconnu
478,Jean-Louis Masson,5 février 1954,Var,Inconnu
479,Jean-Louis Masson,5 février 1954,Moselle,Inconnu
480,Jean-Louis Masson,25 mars 1947,Var,Inconnu
481,Jean-Louis Masson,25 mars 1947,Moselle,Inconnu
482,Catherine Nicolas,20 janvier 1954,Manche,Inconnu
483,Alain Joyandet,15 janvier 1954,Inconnu,Inconnu
484,Josy Poueyto,13 janvier 1954,Seine,Inconnu
485,François Loos,24 décembre 1953,Bas-Rhin,Inconnu
486,Alain Veyret,16 décembre 1953,Inconnu,Inconnu
487,Monique Limon,5 décembre 1953,Seine,Inconnu
488,Bruno Joncour,25 novembre 1953,Inconnu,Inconnu
489,Philippe Martin,22 novembre 1953,Inconnu,Inconnu
490,Michel Sordi,9 novembre 1953,Haut-Rhin,Inconnu
491,Béatrice Vernaudon,27 octobre 1953,Etablissements,Inconnu
492,Xavier Beck,24 octobre 1953,Inconnu,Inconnu
493,Bernard Reynès,18 octobre 1953,Inconnu,Inconnu
