,Département de naissance,Département de mort,Nom
0,Somme,Inconnu,Jean-Claude Leclabart
0,Inconnu,Inconnu,Dominique Richard
0,Gironde,Inconnu,Pierre Sirgue
0,Seine,Inconnu,Renaud Gauquelin
0,Finistère,Inconnu,Annick Le Loch
0,Vienne,Inconnu,Jean-Michel Clément
0,Inconnu,Inconnu,Georges Fenech
0,Inconnu,Inconnu,Yves Blein
0,Somme,Inconnu,Geneviève Fioraso
0,Pyrénées-Orientales,Inconnu,Christian Bourquin
0,Seine,Vendée,Patricia Gallerneau
0,Seine,Pyrénées-Atlantiques,Bernard Birsinger
0,Inconnu,Inconnu,Étienne Blanc
0,La,Inconnu,René-Paul Victoria
0,Finistère,Inconnu,Pierre Victoria
0,Seine-Inférieure,Inconnu,François Hollande
0,Loire-Inférieure,Inconnu,Yves Daniel
0,Alpes-Maritimes,Inconnu,Rudy Salles
0,Inconnu,Inconnu,Marie-Claude Marchand
0,Charente,Inconnu,Marie-Line Reynaud
0,Inconnu,Inconnu,Yolaine De Courson
0,Inconnu,Inconnu,Olivier Darrason
0,Mayenne,Inconnu,Monique Rabin
0,Moselle,Inconnu,Patrick Weiten
0,Inconnu,Inconnu,Alain Merly
0,Loire-Inférieure,Inconnu,Yannick Haury
0,Meurthe,Inconnu,Claude Greff
0,Ain,Inconnu,Charles De la Verpillière
0,Inconnu,Inconnu,Camille De Rocca Serra
0,Inconnu,Inconnu,Patrick Trémège
0,Inconnu,Inconnu,Dominique Juillot
0,Inconnu,Inconnu,Catherine Pen
0,Finistère,Haute-Corse,Yvon Briant
0,Seine,Inconnu,Philippe Goujon
0,Morbihan,Inconnu,Jean-René Marsac
0,Inconnu,Inconnu,Jean-Paul Mattei
0,Gironde,Inconnu,Xavier Pintat
0,Inconnu,Inconnu,Renaud Donnedieu de Vabres
0,Basses-Pyrénées,Inconnu,Joël Goyheneix
0,Sarthe,Inconnu,François Fillon
0,Gard,Inconnu,Yvan Lachaud
0,Bas-Rhin,Inconnu,Jacques Rebillard
0,Manche,Inconnu,Geneviève Gosselin-Fleury
0,Doubs,Inconnu,Alain Ballay
0,Seine,Inconnu,Didier Paris
0,Var,Inconnu,Jean-Louis Masson
0,Manche,Inconnu,Catherine Nicolas
0,Inconnu,Inconnu,Alain Joyandet
0,Seine,Inconnu,Josy Poueyto
0,Bas-Rhin,Inconnu,François Loos
0,Inconnu,Inconnu,Alain Veyret
0,Seine,Inconnu,Monique Limon
0,Inconnu,Inconnu,Bruno Joncour
0,Inconnu,Inconnu,Philippe Martin
0,Haut-Rhin,Inconnu,Michel Sordi
0,Etablissements,Inconnu,Béatrice Vernaudon
0,Inconnu,Inconnu,Xavier Beck
0,Inconnu,Inconnu,Bernard Reynès
0,Seine,Inconnu,Bernard Deflesselles
0,Allier,Inconnu,Serge Lepeltier
0,Meuse,Inconnu,Annette Chépy-Léger
0,Inconnu,Inconnu,Jean-Michel Fourgous
0,Deux-Sèvres,Inconnu,Jean-Luc Drapeau
0,Haute-Garonne,Inconnu,Martine Martinel
0,Corrèze,Inconnu,Dominique Bousquet
0,Inconnu,Inconnu,Ségolène Royal
0,Morbihan,Inconnu,François Goulard
0,Aude,Inconnu,Germinal Peiro
0,Meurthe,Inconnu,Jean-Jacques Denis
0,Pyrénées-Orientales,Inconnu,Jean Codognes
0,Inconnu,Inconnu,Patrice François
0,Seine,Inconnu,Claude De Ganay
0,Nord,Inconnu,Bernard Gérard
0,Inconnu,Inconnu,François Bernardini
0,Inconnu,Inconnu,Kheira Bouziane-Laroussi
0,Haute-Garonne,Inconnu,Marie-Lou Marcel
0,Oise,Inconnu,Françoise Hostalier
0,Inconnu,Inconnu,Françoise Branget Née Minello
